medicamento,substancia_correta,llm_response
MANITOL SOLUCAO 20% 250ML BL SANOBIOL,MANITOL,Manitol
CicloFOSFAMida 1000mg Inj.,ciclofosfamida,Ciclofosfamida
CETAMINA 50MG/ML AMPOLA 2 ML (MPP),CETAMINA,Cetamina
"Naloxona 0,4 mg/1 ml, amp 0,4mg/ml",NALOXONA,Naloxona
ETOMIDATO 20MG/10ML SOL INJ,ETOMIDATO,Etomidato
Quetiapina 50 mg comp (NÃO PADRONIZADO),QUEtiapina,Quetiapina
Rosuvastatina cálcica 20mg cp (NÃO PADRONIZADA),ROSUVASTATINA CALCICA,Rosuvastatina cálcica
DAPAGLIFLOZINA 10 MG,DAPAGLIFLOZINA,Dapagliflozina
CLORIDRATO DE TRAMADOL 50MG/ML - 2ML - SOLUÇÃO INJETÁVEL - VIA INTRAMUSCULAR OU ENDOVENOSA - AMPOLA,TRAMADOL CLORIDRATO,Tramadol
"METOPROLOL, TARTARATO 1 MG/ML SOLUCAO INJETAVEL AMPOLA 5 ML",METOPROLOL TARTARATO,Metoprolol
AmioDARONA 150MG/3ML AMP,AMIODARONA,Amiodarona
Sotalol 120mg Comprimido,Sotalol,Sotalol
MECLIN 25MG COMP (NP),MECLOZINA,Cloridrato de Meclizina
Ruxolitinibe 10 mg cp ,RUXOLITINIBE,Ruxolitinibe
PARACETAMOL GOTAS 200MG / ML,PARACETAMOL  (ACETAMINOFEM),Paracetamol
Cetamina 50mg/ml 10ml Fr/amp,CETAMINA,Cetamina
"HIDROXIETILAMIDO 130/0,4 - EV",Hidroxietilamido,Hidroxietilamido
AGUA DESTILADA 10ML AMPOLA,AGUA DESTILADA,Água destilada
MC: FORXIGA 10MG ,DAPAGLIFLOZINA,Dapagliflozina
HIDROXIETILAMIDO 6% (60 MG/ML) FR 500 ML (VOLUVEN),Hidroxietilamido,Hidroxietilamido
NISTATINA+OXIDO DE ZINCO POMADA,NISTATINA + OXIDO DE ZINCO (TOPICO),"Nistatina, Óxido de Zinco"
"MORFINA 0,2 MG/1ML EV (MEDICAMENTO DE RISCO)",SULFATO DE MORFINA,Morfina
MEROPENEM 500MG - FR - AMP,MEROPENEM,Meropenem
DICLORIDRATO DE BETAISTINA 8 mg,BETAISTINA,Betaistina
"Butilbrometo de escopolamina 10mg, drágea (ORAL)",ESCOPOLAMINA (HIOSCINA),Butilbrometo de escopolamina
OCTREOTIDA 30 MG -  AMP,OCTREOTIDA,Octreotida
Toperma 5% Adesivo Transdermico Lidocaina 5%,LIDOCAINA (TOPICO),Lidocaina
MetoTREXATO 100 mg/mL,METOTREXATO,Metotrexato
SURFACTANTE ALFAPORACTANTO 80MG/ML SOL. INJETAVEL FA 3ML,ALFAPORACTANTO (SURFACTANTE),Alfaporactanto
EFFIENT 10MG 30 CP REV,Prasugrel,Prasugrel
EFEDrina SULFATO SOLUCAO INJETAVEL 50MG/ML 1ML  @,EFEDrina,Efedrina
Ampicilina 1000 mg po liofilo injetavel frasco/ampola ( Santa Casa ),AMPICILINA,Ampicilina
ALBUMINA HUMANA 20% MANIPULADA (PERIFERICA),ALBUMINA HUMANA,Albumina Humana
Alivium 100mg/ml (10gts/ml) 20ml,IBUPROFENO,Ibuprofeno
FENITOINA 50MG/ML (HIDANTAL),FENITOINA,Fenitoína
BIOCURON 4mg/2ml  amp 2 ml (Pancurônio),PANCURONIO,Pancurônio
Valsartana 80mg cp,VALSARTANA,Valsartana
TROPICAMIDA 1% (10MG/ML) SOLUCAO OFTALMICA,TROPICAMIDA,Tropicamida
DAPAGLIFLOZINA 10MG CPREV,DAPAGLIFLOZINA,Dapagliflozina
"CLONAZEPAM 0,5MG CP",CLONAZEPAM,Clonazepam
DEPURA 2.000UI 30CP,COLECALCIFEROL (VITAMINA D),Vitamina D3
SULFATO DE ZINCO 2.5 mg/mL,SULFATO DE ZINCO ,Zinco
ALOPURINOL 100 MG - COMP,AloPURinol,Alopurinol
Água Bidestilada Bolsa 100ml - Halex Istar #,AGUA DESTILADA,Água Bidestilada
DOMPERIDONA 1MG/ML SUSPENSAO ORAL DOSE 3 ML,DOMPERIDONA,Domperidona
"COLCHICINA 0,5MG - CP",Colchicina,Colchicina
DOMPERIDONA 10MG COMP,DOMPERIDONA,Domperidona
MPP:  PANCREATINA 25.000UI,PANCREATINA,Pancreatina
Mirtazapina 15mg Cp orodisp (Med. Controlado) ,MIRTAZAPINA,Mirtazapina
MC: EXELON PATCH 5 ,RIVASTIGMINA,Rivastigmina
Losartan Potássico 50 mg  cp,LOSARTANA,Losartan
"CLINDAMICINA 600MG - C/ 4ML + SF 0,9 % 100 ML",CLINDAMICINA,Clindamicina
SORO GLICOSADO 10% 1000ML,SOLUCAO DE GLICOSE (SORO GLICOSADO),Glicose
Coltrax 4mg (2mg/ml) Ampola 2ml,TIOCOLCHICOSIDEO,Tiocolchicosídeo
Quet XR 300mg Cp rev lib prolong (Med. Controlado) (Não Padrão),QUEtiapina,Quetiapina
SULFAMETOXAZOL + TRIMETOPRIMA (40MG + 8MG)/ML DOSE 5 ML,SULFAMETOXAZOL+TRIMETOPRIMA,Sulfametoxazol + Trimetoprima
Trometamol cetorolaco 5mg/ml Solução Oftálmica Frasco 5ml,CETOROLACO DE TROMETAMINA,Cetorolaco de Trometamol
NORAdrenalina 4MG/4ML AMP,NOREPINEFRINA (NORADRENALINA),Noradrenalina
OXIDO DE ZINCO USO TOPICO,OXIDO DE ZINCO,Óxido de Zinco
"Ropivacaína 7,5mg/ml (0,75%) 20ml Fr/amp",ROpivacaina,Ropivacaína
NAPROXENO 250MG - COMP,Naproxeno,Naproxeno
Fauldcispla 10mg/10mL Inj,CISPLATINA,Cisplatina
BACLOFENO 10MG - COMPRIMIDO,BACLOFENO,Baclofeno
"CEFEPIMA 2G PO P/SOL INJ + SF 0,9% 100ML",CEFEPIMA,Cefepima
"NATRILIX SR 1,5MG 30 CP C",Indapamida,Indapamida
SACCHAROMYCES BOULLARDI 200MG ENV,SACCHAROMYCES BOULARDII,Saccharomyces boulardii
Dipirona sodica 500mg/mL - 2mL,DipiRONA,Dipirona Sódica
TEMOZOLOMIDA 100MG VO QT,TEMOZOLOMIDA,Temozolomida
Aerolin 2mg Cp.,SALBUTAMOL (ALBUTEROL),Salbutamol
CILOSTAZOL 100MG COMPRIMIDO,Cilostazol,Cilostazol
"ENOXAPARINA SODICA 80 MG  SERINGA  0,8ML",ENOXAPARINA SODICA,Enoxaparina Sódica
Lidocaína 10% Spray Frasco 50ml,LIDOCAINA CLORIDRATO,Lidocaína
Losartana Potassica - Gen. Biosintetica 50 mg. 2 bl. x 14 cprs. rev.,LOSARTANA,Losartana Potassica
Amato 100mg Comprimido - C1,TOPIRAMATO,Topiramato
CUORE 75MG 28CP REV,CLOPIDOGREL,Ácido Acetilsalicílico
AMPICILINA  INTRAVENOS (AMPOLA 1GRAMA),AMPICILINA,Ampicilina
SORO FISIOLOGICO (NACL 0.9% 10 ML AMP),"CLORETO DE SODIO 0,9% (SORO FISIOLOGICO)",Cloreto de Sódio
Salbutamol 5mg/mL Gts Neb Fr 10mL - Aerolin,SALBUTAMOL (ALBUTEROL),Salbutamol
N-ACETILCISTEINA 600MG ENVELOPE,ACETILCISTEINA,N-Acetilcisteína
Decadron 2mg/1mL Sol inj,DEXAMETASONA,Dexametasona
VITAMINA COMPLEXO B DRG,VITAMINAS DO COMPLEXO B,Complexo B
"LEVOBUPIVACAINA 0,25%+ EPINEFRINA 20ML - AMP",LEVOBupivacaina,"Levobupivacaína, Epinefrina"
Tramadol 100mg Comprimido de Liberação Controlada,TRAMADOL CLORIDRATO,Tramadol
IRINOTECANO 40MG FR - NP,IRINOTECANO,Irinotecano
Sildenafila 50mg Cp,SILDENAFILA,Sildenafila
PROPATILNITRATO COMPRIMIDO C/10MG,PROPATILNITRATO,Propatilnitrato
Lactobacillus acidophilus 3BI UFC + Lactobacillus paracasei 3BI UFC+ Lactobacillus bifidum 3BI UFC + Lactobacillus rhamnosos 2BI UFC Sol oral 100mL (Não Padrão),LACTOBACILLUS ACIDOPHILUS + LACTOBACILLUS CASEI + LACTOBACILLUS RHAMNOSUS + BIFIDOBACTERIUM LONGUM,"Lactobacillus acidophilus, Lactobacillus paracasei, Lactobacillus bifidum, Lactobacillus rhamnosos"
TERIZIDONA CAPSULA GELATINOSA DURA 250MG MS,CICLOSERINA (TERIZIDONA),Terizidona
"LEUPRORRELINA ACETATO 22,5MG PO LIOFILIZADO",LEUPRORRELINA,Leuprorrelina
"AMOXICILINA+CLAV POT (250MG +62,5MG/ 5ML) SUSPENSAO",AMOXICILINA + CLAVULANATO POTASSIO,Amoxicilina + Ácido Clavulânico
LINEZOLIDA 2MG/ML SOLUCAO INJETAVEL BOLSA 300ML,LINEZOLIDA,Linezolida
"Psorex 0,5mg/g Creme 30g",CLOBETASOL (TOPICO),Betametasona
Esmolol 10mg/mL Inj. Frasco c/ 10mL,ESMOLOL,Esmolol
Imunoglobulina Humana 5 G 10 % (100 Mg/ml) Frasco C/ 50ml,IMUNOGLOBULINA HUMANA,Imunoglobulina Humana
"Clorexidina enxaguatório bucal 0,12% frasco 500mL",CLOREXIDINA,Clorexidina
Cetrolac 30 mg  amp 1 ml (Cetorolaco Trometamina) ,CETOROLACO DE TROMETAMINA,Cetorolaco Trometamina
Daxas 500mcg Comprimido Revestido,ROFLUMILAST,Roflumilaste
DEXMEDETOMIDINA 100MCG/ML 2ML-FR-AM,DEXMEDETOMIDINA,Dexmedetomidina
FENILEFRINA 10MG/ML AMP 1ML,FENILEFRINA,Fenilefrina
ALGINATO DE CALCIO E SODIO GEL,ALGINATO DE SODIO + ALINATO DE CALCIO (TOPICO),Alginato de Cálcio e Sódio
"Tocilizumabe 162mg Seringa Preenchida 0,9mL",TOCILIZUMABE,Tocilizumabe
Aciclovir 250mg INJ,ACICLOVIR,Aciclovir
AGUA DESTILADA 1.000ML (SOROTERAPIA),AGUA DESTILADA,Água destilada
SORO ANTIBOTROPICO,SORO ANTIBOTROPICO,Veneno de Bothrops
Isometepteno 30mg+cafeína 30mg+DipiRONA 300mg Drg,ISOMETEPTENO + DIPIRONA +CAFEINA,"Isometepteno, Cafeína, Dipirona"
FAULDLEUCO (FOLINATO DE CALCIO) 50MG,FOLINATO DE CALCIO (ACIDO FOLINICO),Folinato de Cálcio
SULFAMETOXAZOL+TRIMETROPIMA (400MG+80MG) CPR,SULFAMETOXAZOL+TRIMETOPRIMA,Sulfametoxazol e Trimetropima
"ACIDO VALPROICO 250MG/5ML XAROPE DOSE 2,5 ML",ACIDO VALPROICO (VALPROATO DE SODIO),Ácido Valproico
Miflonide 400mcg Cap inal (Não Padrão),BUDESONIDA,Budesonida
CloNIDina 150mcg/ml Amp. 1ml,CLONIDINA,Clonidina
AMOXICILINA  500MG - CAPS,AMOXICILINA,Amoxicilina
"ENALAPRIL, MALEATO COMP 10MG",ENALAPRIL MALEATO,Enalapril
BCG 40MG - AMPOLA,BCG (CEPA VIVA ATENUADA),Bacilo de Calmette-Guérin
SINTEZYS 150MG 3 CP,IBANDRONATO DE SODIO,Clozapina
Fator VIII de Coagulação 500 UI Frasco-ampola + Diluente 5ml - Ministério da Saúde,FATOR VIII DE COAGULAÇAO,Fator VIII de Coagulação
Olimel N4E Bolsa 1000ml,POLIAMINOACIDOS + GLICOSE + EMULSAO LIPIDICA COM ELETROLITOS,"Aminoácidos, glicose, eletrólitos, lipídios"
Annita 500 Mg Cp.,NITAZOXANIDA,Nitazoxanida
Dextrano+hipromelose Colírio 15ml,DEXTRANA + HIPROMELOSE (OFTALMICO),"Dextrano, Hipromelose"
Paracetamol + Codeína 500/30mg Cp,CODEINA + PARACETAMOL (ACETAMINOFEM),"Paracetamol, Codeína"
ERITROPOETINA HUMANA 4.000 UI 4000 UI,ALFAEPOETINA (ERITROPOETINA),Eritropoetina Humana
MORFINA SULFATO COMPRIMIDO 30MG @,SULFATO DE MORFINA,Morfina
Albendazol 400mg Cp. ,ALBENDAZOL,Albendazol
DASATINIBE 100MG (SESA),DASATINIBE,Dasatinibe
Renitec (enalapril)  20mg Comprimido,ENALAPRIL MALEATO,Enalapril
Pantoprazol 40mg cp,PANTOPRAZOL,Pantoprazol
BICARBONATO DE SODIO 1 mg + CLORETO DE POTASSIO 1 mg + CLORETO DE SODIO 1 mg + MACROGOL 1 mg,MACROGOL+BICARBONATO DE SODIO+CLORETO DE POTASSIO + CLORETO DE SODIO,"Bicarbonato de Sódio, Cloreto de Potássio, Cloreto de Sódio, Macrogol"
NOVALGINA 300MG INFANTIL SUP,DipiRONA,Dipirona
Floratil  200mg Envelope,SACCHAROMYCES BOULARDII,Saccharomyces boulardii
ACIDO ACETILSALICILICO 100 MG - COMP,ACIDO ACETILSALICILICO <200MG,Ácido Acetilsalicílico
CETOCONAZOL + BETAMETASONA CREME 30G,CETOCONAZOL + BETAMETASONA  (TOPICO),"Cetoconazol, Betametasona"
MIDAZOLAM 5MG/ML 10ML AMP,MIDAZOLAM,Midazolam
amioDARONA 50MG/ML 3ML AMP,AMIODARONA,Amiodarona
SIMETICONA 75 MG/ML FR 10 ML,SIMETICONA,Simeticona
Donaren 50mg Cp. Rev.,TRAZODONA,Trazodona
Atorvastatina 10mg Comprimido,ATORVASTATINA,Atorvastatina
Obinutuzumabe 1000 mg fr amp  ( Anticorpo monoclonal ),OBINUTUZUMABE,Obinutuzumabe
Soro Glicosado 5% 100mL [30532],SOLUCAO DE GLICOSE (SORO GLICOSADO),Glicose
FLUCONAZOL CAPSULA GELATINOSA DURA 150MG,FLUCONAZOL,Fluconazol
HIDROCLOROTIAZIDA 25MG/5L 50ML MANIPULADO,HIDROCLOROTIAZIDA,Hidroclorotiazida
METARAMINOL  INJETAVEL - 1 ML 10 MG/ML AMP,METARAMINOL,Metaraminol
METOPROLOL (TARTARATO) 10MG/ML 30 ML FR,METOPROLOL TARTARATO,Metoprolol
SULFAMETOXAZOL/TRIMETROPRIMA 800/160MG CP,SULFAMETOXAZOL+TRIMETOPRIMA,Sulfametoxazol e Trimetoprima
ALTEPLASE 50MG - FR AMP,ALTEPLASE,Alteplase
Micardis 80 Mg Cp,TELMISARTANA,Telmisartana
"Neostigmina 0,5mg/ml Ampola 1ml",NEOSTIGMINA,Neostigmina
Ceftazidima + Avibactam 2000mg+500mg Fr Amp,CEFTAZIDIMA + AVIBACTAM,Ceftazidima + Avibactam
SULFAMETOXAZOL + TRIMETOPRIMA 400 MG + 80 MG COMPRIMIDO,SULFAMETOXAZOL+TRIMETOPRIMA,Sulfametoxazol + Trimetoprima
Vaselina Sólida 30g,VASELINA,Vaselina
CLORIDRATO DE TIORIDAZINA 25 mg,TIORIDAZINA,Tioridazina
