medicamento,llm_response,input_tokens,output_tokens
TROPICAMIDA 1% (10MG/ML) SOLUCAO OFTALMICA,Tropicamida,128,4
DAPAGLIFLOZINA 10MG CPREV,Dapagliflozina,118,8
"CLONAZEPAM 0,5MG CP",Clonazepam,116,4
DEPURA 2.000UI 30CP,Vitamina D3,116,5
SULFATO DE ZINCO 2.5 mg/mL,Zinco,119,3
ALOPURINOL 100 MG - COMP,Alopurinol,115,5
Água Bidestilada Bolsa 100ml - Halex Istar #,Água Bidestilada,122,6
DOMPERIDONA 1MG/ML SUSPENSAO ORAL DOSE 3 ML,Domperidona,126,4
"COLCHICINA 0,5MG - CP",Colchicina,116,3
DOMPERIDONA 10MG COMP,Domperidona,113,4
MPP:  PANCREATINA 25.000UI,Pancreatina,118,3
Mirtazapina 15mg Cp orodisp (Med. Controlado) ,Mirtazapina,124,5
MC: EXELON PATCH 5 ,Rivastigmina,114,5
Losartan Potássico 50 mg  cp,Losartan,117,3
"CLINDAMICINA 600MG - C/ 4ML + SF 0,9 % 100 ML",Clindamicina,129,4
SORO GLICOSADO 10% 1000ML,Glicose,119,3
Coltrax 4mg (2mg/ml) Ampola 2ml,Tiocolchicosídeo,121,6
Quet XR 300mg Cp rev lib prolong (Med. Controlado) (Não Padrão),Quetiapina,127,4
SULFAMETOXAZOL + TRIMETOPRIMA (40MG + 8MG)/ML DOSE 5 ML,Sulfametoxazol + Trimetoprima,134,13
Trometamol cetorolaco 5mg/ml Solução Oftálmica Frasco 5ml,Cetorolaco de Trometamol,129,10
NORAdrenalina 4MG/4ML AMP,Noradrenalina,116,4
OXIDO DE ZINCO USO TOPICO,Óxido de Zinco,116,7
"Ropivacaína 7,5mg/ml (0,75%) 20ml Fr/amp",Ropivacaína,128,6
NAPROXENO 250MG - COMP,Naproxeno,115,4
Fauldcispla 10mg/10mL Inj,Cisplatina,118,4
BACLOFENO 10MG - COMPRIMIDO,Baclofeno,118,5
"CEFEPIMA 2G PO P/SOL INJ + SF 0,9% 100ML",Cefepima,128,4
"NATRILIX SR 1,5MG 30 CP C",Indapamida,119,4
SACCHAROMYCES BOULLARDI 200MG ENV,Saccharomyces boulardii,118,8
Dipirona sodica 500mg/mL - 2mL,Dipirona Sódica,119,7
TEMOZOLOMIDA 100MG VO QT,Temozolomida,116,6
Aerolin 2mg Cp.,Salbutamol,112,4
CILOSTAZOL 100MG COMPRIMIDO,Cilostazol,117,5
"ENOXAPARINA SODICA 80 MG  SERINGA  0,8ML",Enoxaparina Sódica,126,8
Lidocaína 10% Spray Frasco 50ml,Lidocaína,118,5
Losartana Potassica - Gen. Biosintetica 50 mg. 2 bl. x 14 cprs. rev.,Losartana Potassica,134,6
Amato 100mg Comprimido - C1,Topiramato,116,3
CUORE 75MG 28CP REV,Ácido Acetilsalicílico,114,8
AMPICILINA  INTRAVENOS (AMPOLA 1GRAMA),Ampicilina,123,5
SORO FISIOLOGICO (NACL 0.9% 10 ML AMP),Cloreto de Sódio,126,7
Salbutamol 5mg/mL Gts Neb Fr 10mL - Aerolin,Salbutamol,124,4
N-ACETILCISTEINA 600MG ENVELOPE,N-Acetilcisteína,120,9
Decadron 2mg/1mL Sol inj,Dexametasona,117,5
VITAMINA COMPLEXO B DRG,Complexo B,115,3
"LEVOBUPIVACAINA 0,25%+ EPINEFRINA 20ML - AMP","Levobupivacaína, Epinefrina",128,13
Tramadol 100mg Comprimido de Liberação Controlada,Tramadol,119,3
IRINOTECANO 40MG FR - NP,Irinotecano,116,4
Sildenafila 50mg Cp,Sildenafila,113,4
PROPATILNITRATO COMPRIMIDO C/10MG,Propatilnitrato,120,6
Lactobacillus acidophilus 3BI UFC + Lactobacillus paracasei 3BI UFC+ Lactobacillus bifidum 3BI UFC + Lactobacillus rhamnosos 2BI UFC Sol oral 100mL (Não Padrão),"Lactobacillus acidophilus, Lactobacillus paracasei, Lactobacillus bifidum, Lactobacillus rhamnosos",170,37
TERIZIDONA CAPSULA GELATINOSA DURA 250MG MS,Terizidona,124,4
"LEUPRORRELINA ACETATO 22,5MG PO LIOFILIZADO",Leuprorrelina,126,5
"AMOXICILINA+CLAV POT (250MG +62,5MG/ 5ML) SUSPENSAO",Amoxicilina + Ácido Clavulânico,132,12
LINEZOLIDA 2MG/ML SOLUCAO INJETAVEL BOLSA 300ML,Linezolida,129,4
"Psorex 0,5mg/g Creme 30g",Betametasona,119,5
Esmolol 10mg/mL Inj. Frasco c/ 10mL,Esmolol,124,4
Imunoglobulina Humana 5 G 10 % (100 Mg/ml) Frasco C/ 50ml,Imunoglobulina Humana,130,7
"Clorexidina enxaguatório bucal 0,12% frasco 500mL",Clorexidina,126,5
Cetrolac 30 mg  amp 1 ml (Cetorolaco Trometamina) ,Cetorolaco Trometamina,128,8
Daxas 500mcg Comprimido Revestido,Roflumilaste,118,6
DEXMEDETOMIDINA 100MCG/ML 2ML-FR-AM,Dexmedetomidina,125,6
FENILEFRINA 10MG/ML AMP 1ML,Fenilefrina,119,5
ALGINATO DE CALCIO E SODIO GEL,Alginato de Cálcio e Sódio,117,12
"Tocilizumabe 162mg Seringa Preenchida 0,9mL",Tocilizumabe,127,6
Aciclovir 250mg INJ,Aciclovir,114,4
AGUA DESTILADA 1.000ML (SOROTERAPIA),Água destilada,122,5
SORO ANTIBOTROPICO,Veneno de Bothrops,113,5
Isometepteno 30mg+cafeína 30mg+DipiRONA 300mg Drg,"Isometepteno, Cafeína, Dipirona",131,13
FAULDLEUCO (FOLINATO DE CALCIO) 50MG,Folinato de Cálcio,122,8
SULFAMETOXAZOL+TRIMETROPIMA (400MG+80MG) CPR,Sulfametoxazol e Trimetropima,127,12
"ACIDO VALPROICO 250MG/5ML XAROPE DOSE 2,5 ML",Ácido Valproico,127,5
Miflonide 400mcg Cap inal (Não Padrão),Budesonida,122,4
CloNIDina 150mcg/ml Amp. 1ml,Clonidina,119,4
AMOXICILINA  500MG - CAPS,Amoxicilina,117,4
"ENALAPRIL, MALEATO COMP 10MG",Enalapril,118,4
BCG 40MG - AMPOLA,Bacilo de Calmette-Guérin,113,11
SINTEZYS 150MG 3 CP,Clozapina,115,3
Fator VIII de Coagulação 500 UI Frasco-ampola + Diluente 5ml - Ministério da Saúde,Fator VIII de Coagulação,134,7
Olimel N4E Bolsa 1000ml,"Aminoácidos, glicose, eletrólitos, lipídios",117,17
Annita 500 Mg Cp.,Nitazoxanida,112,5
Dextrano+hipromelose Colírio 15ml,"Dextrano, Hipromelose",119,8
Paracetamol + Codeína 500/30mg Cp,"Paracetamol, Codeína",119,8
ERITROPOETINA HUMANA 4.000 UI 4000 UI,Eritropoetina Humana,123,8
MORFINA SULFATO COMPRIMIDO 30MG @,Morfina,120,3
Albendazol 400mg Cp. ,Albendazol,115,5
DASATINIBE 100MG (SESA),Dasatinibe,117,3
Renitec (enalapril)  20mg Comprimido,Enalapril,120,4
Pantoprazol 40mg cp,Pantoprazol,113,5
BICARBONATO DE SODIO 1 mg + CLORETO DE POTASSIO 1 mg + CLORETO DE SODIO 1 mg + MACROGOL 1 mg,"Bicarbonato de Sódio, Cloreto de Potássio, Cloreto de Sódio, Macrogol",149,29
NOVALGINA 300MG INFANTIL SUP,Dipirona,116,4
Floratil  200mg Envelope,Saccharomyces boulardii,114,8
ACIDO ACETILSALICILICO 100 MG - COMP,Ácido Acetilsalicílico,120,8
CETOCONAZOL + BETAMETASONA CREME 30G,"Cetoconazol, Betametasona",121,11
MIDAZOLAM 5MG/ML 10ML AMP,Midazolam,118,4
amioDARONA 50MG/ML 3ML AMP,Amiodarona,119,4
SIMETICONA 75 MG/ML FR 10 ML,Simeticona,118,4
Donaren 50mg Cp. Rev.,Trazodona,114,4
Atorvastatina 10mg Comprimido,Atorvastatina,117,6
Obinutuzumabe 1000 mg fr amp  ( Anticorpo monoclonal ),Obinutuzumabe,127,6
Soro Glicosado 5% 100mL [30532],Glicose,121,3
FLUCONAZOL CAPSULA GELATINOSA DURA 150MG,Fluconazol,124,5
HIDROCLOROTIAZIDA 25MG/5L 50ML MANIPULADO,Hidroclorotiazida,126,8
METARAMINOL  INJETAVEL - 1 ML 10 MG/ML AMP,Metaraminol,125,4
METOPROLOL (TARTARATO) 10MG/ML 30 ML FR,Metoprolol,125,4
SULFAMETOXAZOL/TRIMETROPRIMA 800/160MG CP,Sulfametoxazol e Trimetoprima,125,13
ALTEPLASE 50MG - FR AMP,Alteplase,115,4
Micardis 80 Mg Cp,Telmisartana,112,5
"Neostigmina 0,5mg/ml Ampola 1ml",Neostigmina,120,4
Ceftazidima + Avibactam 2000mg+500mg Fr Amp,Ceftazidima + Avibactam,124,10
SULFAMETOXAZOL + TRIMETOPRIMA 400 MG + 80 MG COMPRIMIDO,Sulfametoxazol + Trimetoprima,131,13
Vaselina Sólida 30g,Vaselina,114,3
CLORIDRATO DE TIORIDAZINA 25 mg,Tioridazina,119,5
INFLIXimabe 10mg/mL,Infliximabe,114,4
Imipra 25mg Cp rev (Med. Controlado) (Não Padrão),Imipramina,125,4
CEFUROXIMA SODICA 750MG FAM,Cefuroxima,119,4
AmiTRIPtilina 25MG COMP. (TRYPTANOL),Amitriptilina,122,6
Salmeterol+Fluticasona 25+125mcg/jato spray,Salmeterol e Fluticasona,124,10
CefTAZidima PO PARA SOLUCAO INJETAVEL 1G,Ceftazidima,125,5
AloPURinol 300 mg,Alopurinol,112,5
BECLOMETASONA  SPRAY ORAL 50 MCG/JAT FR,Beclometasona,123,5
CIMETIDINA 150MG / ML  IM / IV,Cimetidina,118,4
CIPROFLOXACINO + HIDROCORTISONA COLIRIO FRASCO  - NP,"Ciprofloxacino, Hidrocortisona",128,12
"RASBURICASE 1,5MG PO FA",Rasburicase,117,5
DipiRONA 500MG CPR,Dipirona,113,4
"SOLUCAO FISIOLOGICA 0,9% 500ML",Cloreto de sódio,122,7
ACIDO ACETIL SAL INFAN 100MG 10 CP AV,Ácido Acetilsalicílico,120,8
Piemonte Env 4mg,Montelucaste,112,4
N-ACETILCISTEINA 20MG/1ML XAROPE PED,N-Acetilcisteína,125,9
LAMOTRIGINA 100MG - COMPRIMIDO,Lamotrigina,119,5
Fomblin Hcr 3% + Alantoína 1% + Óleo de Silicone 10%  Pote 100g Creme,"Fomblin Hcr, Alantoína, Óleo de Silicone",139,17
(NAO PADRAO) ACIDO VALPROICO 500MG COMPRIMIDO,Ácido Valproico,124,5
"Isossorbida, Dinitrato 10mg Cp",Dinitrato de Isossorbida,118,9
ALENIA 12/400 (01 CAPSULA DE 12/12 HORAS),Budesonida + Formoterol,125,8
PROPRANOLOL 40 MG - COMP,Propranolol,115,4
PERTUZUMABE+TRASTUZUMABE 600 MG + 600 MG SOL. INJ. - QT,"Pertuzumabe, Trastuzumabe",134,11
"SOLUCAO DE DIALISE PERITONEAL 4,25% BOLS 6000ML",Dextrose,128,3
VASOGARD 100MG 30 CP C,Pentoxifilina,116,6
ANASTROLIBBS (ANASTROZOL) 1MG COMP,Anastrozol,121,4
AMICACINA 500MG / 2ML,Amicacina,116,4
DOCETAXEL 20MG/ML,Docetaxel,114,4
Medicamento do paciente (uso eventual) 06,"Desculpe, mas você não forneceu um nome específico de medicamento. Por favor, forneça o nome do medicamento para que eu possa identificar a substância ativa.",115,42
Corentel 10mg Cp rev (Importado) (Não Padrão),Bisoprolol,123,5
PIRIMETAMINA 25 mg,Pirimetamina,114,4
MC: METOPROLOL ( SELOZOK  25 ,Metoprolol,121,4
BISACODIL 5 MILIGRAMAS,Bisacodil,116,5
HIDROXIDO DE FERRO III 100 MILIGRAMAS (COMPRIMIDO),Hidróxido de Ferro III,126,9
ANLODIPINO 5MG (NORVAX),Amlodipino,119,5
DIPIRONA 500MG/ML SOLUCAO ORAL DOSE 13 GOTAS,Dipirona,126,4
ERTAPENEM SODICO PO LIOFILO INJETAVEL 1G,Ertapenem Sódico,126,8
FUROSEMIDA 40 mg,Furosemida,112,4
ACIDO ACETILSALICILICO COMP C/100MG,Ácido Acetilsalicílico,120,8
CiclosPORINA 25mg Cap,Ciclosporina,113,6
N.P. - ESCITALOPRAM 10MG CP,Escitalopram,117,4
GLUTAMINA 5G - SACHÊ,Glutamina,116,3
MALEATO DE ENALAPRIL 5 MILIGRAMAS (COMPRIMIDO),Enalapril,126,4
"Diluição MORFINA em CLORETO SODIO 0,9% 100ML (CONTINUO)",Morfina,131,3
RPA METOCLOPRAMIDA 5MG/ML AMP.2ML(PLASIL) IV (ADULTO),Metoclopramida,133,6
DIPIRONA 1000MG/2ML AMP,Dipirona,117,4
SOROTERAPIA - GLICOSE 5% 500ML FR,Glicose,122,3
"Dutasterida 0,5mg/mL + Tansulosina 0,4 mg/mL Sol oral 60mL (Não Padrão)","Dutasterida, Tansulosina",137,9
"AMICACINA, SULFATO 50MG/ML AMP 2ML",Amicacina,123,4
CISATRACURIO 10MG/5ML EV PED (MEDICAMENTO DE RISCO),Cisatracurio,128,6
Tranexâmico Ácido 250mg Cp.,Ácido Tranexâmico,116,6
MC: LEVETIRACETAM  10 ,Levetiracetam,118,5
HidroCLOROtiazida - comprimido 25 mg,Hidroclorotiazida,120,8
Persantin 10mg/2ml Ampola 2ml,Dipiridamol,119,6
NitroGLICERINA 5MG/ML  5ML SOL.INJ CONCENTRADO - SOLUÇÃO,Nitroglicerina,131,4
SALIVA ARTIFICIAL FRS,Carmelose Sódica,112,7
ESPIRONOLACTONA 25MG/ 5ML-100 ML,Espironolactona,121,5
"Rivotril 0,5 mg comp (RQ) (Port344/98)",Clonazepam,124,4
"Pirimetamina, Cloridrato de 25mg Cpr",Pirimetamina,120,4
Cálcio MDK,Cálcio,111,4
CRANBERRY 1 mg,Cranberry,112,3
Tramadol 100mg Amp 2mL (50mg/mL),Tramadol,121,3
"Bexsero Susp inj 0,5mL",Meningococo B (recombinante),117,11
TRASTUZUMABE ENTANSINA 20MG/ML,Trastuzumabe Entansina,120,8
"SOLUCAO CLORETO DE SODIO 0,9% 1000ML",Cloreto de Sódio,126,7
LUITEINA 10 mg + ZEAXANTINA 2 mg,"Luteína, Zeaxantina",120,9
Diosmina+Hesperidina 50 mg/450 mg comp,"Diosmina, Hesperidina",119,8
NITAZOXANIDA 20MG/1ML SUSPENSAO,Nitazoxanida,122,5
"cloNIDina 0,1MG OU 100 MICROGRAMAS (ATENSINA)",Clonidina,125,4
CLORETO DE SODIO 0.9% - FRASCO 1000ML,Cloreto de Sódio,126,7
CefTAZidima 1G +  AD 10ML  EV BI/BS - CARDIOPED,Ceftazidima,130,5
MESNA 400MG/4ML AMP 4ML - PRIMEIRA DOSE,Mesna,123,2
