medicamento,substancia_correta,llm_response,acertou
Synvisc One Seringa 8mg/ml 6ml,HILANO + CLORETO DE SODIO + FOSFATO DISSODICO HIDROGENADO	+ DIHIDROGENOFOSFATO DE SODIO HIDRATADO,Hialuronato de Sódio,1
OXIDO DE ZINCO 200 MG + NISTATINA 100.000 UI/G (POMADA 60G),NISTATINA + OXIDO DE ZINCO (TOPICO),"Óxido de Zinco, Nistatina",1
OLEO MINERAL SOL ORAL,OLEO MINERAL,Óleo Mineral,1
"OLANZapina 2,5mg Comprimido",OLANZapina,Olanzapina,1
FUROSEMIDA 40MG,FUROSEMIDA,Furosemida,1
Hepamax-S 25.000 UI/5mL Sol inj (Alta Vigilância),Heparina,Hepatite B Imunoglobulina Humana,0
"ATROPINA 0,25mg/mL 1mL AMP",ATROPINA,Atropina,1
CLORETO DE SODIO 20% AMP 10 ML,CLORETO DE SODIO,Cloreto de Sódio,1
Tacrolimo 1mg Cápsula,TACROLIMO,Tacrolimo,1
"Carmelose sódica 0,5% Sol oftálmica 10mL",CARMELOSE SODICA(CARBOXIMETILCELULOSE SODICA) (OFTÁLMICO),Carmelose sódica,1
FORMOTEROL FUMARATO DIIDRATADO 6MCG+BUDESONIDA 200MCG/DOSE PO INALANTE 60 DOSES,FORMOTEROL + BUDESONIDA,"Formoterol Fumarato Diidratado, Budesonida",1
"FLUDROCORTISONA 0,1MG COMPRIMIDO NP (FLORINEFE)",FLUDROCORTISONA,Fludrocortisona,1
"BACLOFENO 2,5MG - CP",BACLOFENO,Baclofeno,1
Anastrozol 1 mg comp. rev.,ANASTROZOL,Anastrozol,1
"ALPRAZOLAM 0,25 mg",ALPRAZOLAM,Alprazolam,1
BLEOmicina(SULFATO) 15UI PO P/ SOL INJ - FRASCO AMPOLA,BLEOMICINA,Bleomicina,1
"FentaNILA 500mcg INJ (0,05 mg/mL) 10mL**",FENTANILA,Fentanil,1
"MPP:  BOSENTANA 62,5MG",BOSENTANA,Bosentana,1
Revitam Júnior Solução Oral Frasco 120ml,POLIVITAMINICO,Multivitaminas,1
Vitamina A 50.000ui/ml + Vitamina D 10.000ui/ml ( Livre de Parabenos E Óleos Vegetais)50ml,CLORANFENICOL + RETINOL (VITAMINA A) (TOPICO),"Vitamina A, Vitamina D",0
"Hidrocin (0,75+0,5+5)mg/mL Sol nasal 20mL (Não Padrão)",CLORIDRATO DE NAFAZOLINA + FOSFATO DISSODICO DE DEXAMETASONA + SULFATO DE NEOMICINA,"Hidroclorotiazida, Cloridrato de Amilorida, Maleato de Enalapril",0
LEFLUNOMIDA 20 MG CMP,LEFLUNOMIDA,Leflunomida,1
Alogliptina 25mg + PIOglitazona 30mg,ALOGLIPTINA + PIOGLITAZONA,"Alogliptina, Pioglitazona",1
Hirudoid gel tubo c/ 40g,POLISSULFATO DE MUCOPOLISSACARIDEO  (TÓPICO),Heparinoide,1
Carboximaltose férrica 500mg/10mL Sol inj,CARBOXIMALTOSE FERRICA,Carboximaltose férrica,1
"DOBUTAMINA, 250MG/20ML  AMP 20ML (ALTA VIGILANCIA)",Dobutamina,Dobutamina,1
CLORIDRATO DE METFORMINA 1000 mg + GLIMEPIRIDA 4 mg,GLIMEPIRIDA + METFORMINA,"Metformina, Glimepirida",1
Adenosina 3mg/Ml Inj. Ampola C/ 2ml (AV),ADENOSINA,Adenosina,1
"ATROVENT 0,25MG/ML - GTS",IPRATROPIO,Ipratrópio,1
Prometazina 25mg Cp,PROMETAZINA,Prometazina,1
Sacubitril Valsartana Sódica Hidratada 50mg Comprimido Revestido,SACUBITRIL + VALSARTANA,Sacubitril Valsartana,1
Sulfato De Morfina 10mg Cp.,SULFATO DE MORFINA,Morfina,1
Dolutegravir 50mg,DOLUTEGRAVIR,Dolutegravir,1
Nevirapina 10 mg/mL sol. oral frasco c/ 100 mL,NEVIRAPINA,Nevirapina,1
CICLOSPORINA 25MG CAPS (CEAF),CiclosPORINA,Ciclosporina,1
GABAPENTINA 300 MG - CAP,GABAPENTINA,Gabapentina,1
"BUPIVACAINA CLORIDRATO 0,5% SEM VASOCONSTRITOR - 2",BUPIVACAINA,Bupivacaína,1
METADONA 10 MG,Metadona,Metadona,1
MANIVASC 10MG - CP,MANIDIPINO,Enalapril,0
LoSEC Mups 20mg Cp rev,OMEPRAZOL,Omeprazol,1
CicloFOSFAMida 1g FA - Genuxal,ciclofosfamida,Ciclofosfamida,1
"ATROPINA SULFATO 0,5MG/1ML",ATROPINA,Atropina,1
"SORO FISIOLOGICO 0,9% 1000ML","CLORETO DE SODIO 0,9% (SORO FISIOLOGICO)",Cloreto de Sódio,1
FENTANEST 50mcg/ml FA 10 ml,FENTANILA,Fentanil,1
FENITOINA INJETAVEL 5 ML 50 MG/ML AMP,FENITOINA,Fenitoína,1
Paroxetina 25mg Comprimido Revestido,PAROXETINA,Paroxetina,1
FENOBARBITAL 40MG/ML 20ML SOL OR GTS,FENOBARBITAL,Fenobarbital,1
"Deslanosídeo 0,4mg/2mL amp",DESLANOSIDEO,Deslanosídeo,1
INSULINA REGULAR HUMANA 100 UI/ML FRA,INSULINA REGULAR,Insulina Regular Humana,1
NIMESULIDA 50MG/ML SOLUCAO ORAL DOSE 34 GOTAS,Nimesulida,Nimesulida,1
HIDROSMINA 200 mg,HIDROSMINA,Hidrosmina,1
"FIBRAS VEGETAIS PURIF (PLANTAGO OVATA) PSYLLIUM 3,5 G ENV",PLANTAGO OVATA ((PSYLLIUM HUSK),Psyllium,1
ACIDO TRANEXAMICO,ACIDO TRANEXAMICO,Ácido Tranexâmico,1
FENITOINA COMPRIMIDO 100MG @,FENITOINA,Fenitoína,1
LECANEmabe 500MG INJ (100MG/ML) 5ML,LECANEMABE,Lecanemabe,1
Dimenidrinato 50mg/mL + piridoxina 50mg/mL - 1mL,DIMENIDRINATO + PIRIDOXINA(B6),"Dimenidrinato, Piridoxina",1
"CLORETO DE SODIO 0,9% 10ML","CLORETO DE SODIO 0,9% (SORO FISIOLOGICO)",Cloreto de Sodio,1
PEMETREXEDE - NP,PEMETREXEDE,Pemetrexede,1
COLCHICINA 0.5MG CPR,Colchicina,Colchicina,1
"CALCITRIOL 0,25 MCG",CalciTRIOL,Calcitriol,1
"Mabthera 1400mg / 11,7ml SC",RiTUXimabe,Rituximabe,1
SERETIDE,SALMETEROL + FLUTICASONA,Salmeterol e Fluticasona,1
"Lumigan 0,03% Sol oftálmica 5mL (Não Padrão)",BIMATOPROSTA (OFTALMICO),Bimatoprosta,1
IMUNOGLOBULINA ANTI RHO 300 MCG SER,IMUNOGLOBULINA ANTI-RH,Imunoglobulina Anti-Rho (D),1
Hidrocortisona 20mg Cápsula - Manipulado,HIDROCORTISONA SUCCINATO SODICO,Hidrocortisona,0
Furosemida 20mg/2mL Sol inj,FUROSEMIDA,Furosemida,1
PROTAMINA 1.000 UI/ML  SOLUCAO INJETAVEL AMPOLA 5 ML,PROTAMINA,Protamina,1
ALIVIUM 100MG/ML 20ML (200GOTAS) FR (SE NECESSARIO),IBUPROFENO,Ibuprofeno,1
Mesacol 500mg supositório,MESALAZINA,Mesalazina,1
"Dermacerium 0,4/1,0% Creme 50g (Não Padrão)",SULFADIAZINA DE PRATA + NITRATO DE CERIO (TOPICO),Sulfadiazina de Prata + Nitrato de Cério,1
HIPO - HALOPERIDOL 1 MG,HaloPERidol,Haloperidol,1
"BUDESONIDA 0,5MG/2ML SUSP NEBULIZACAO FR 2ML",BUDESONIDA,Budesonida,1
PERMETRINA 10MG/ML ( 1%) - 60ML – SHAMPOO - FRASCO,PERMETRINA (TOPICO),Permetrina,1
GLICOPIRRONIO BROMETO CAPSULA GELATINOSA DURA COM PO PARA INALACAO 50MCG/DOSE 10 CAPSULAS COM INALADOR,GLICOPIRRONIO,Brometo de Glicopirrônio,1
DEXAMETASONA SOL INJ 2MG/ML AMP EV BOLUS,DEXAMETASONA,Dexametasona,1
FUROSEMIDA COMP 40MG,FUROSEMIDA,Furosemida,1
MIRTAZAPINA 30MG COMP,MIRTAZAPINA,Mirtazapina,1
Deflazacort 30mg Cp.,DEFLAZACORTE,Deflazacort,1
ENTACAPONA COMPRIMIDO REVESTIDO 200MG ,Entacapona,Entacapona,1
Urbanil (clobazam) 10mg Comprimido,CLOBAZAM,Clobazam,1
PRADAXA 150MG 60 CAP,Dabigatrana,Dabigatrana,1
Lidocaína 50mg/g Pomada Bisnaga 25g Oralbase - Ems,LIDOCAINA (TOPICO),Lidocaína,1
FOSF. SODICO DE prednisoLONA 3MG/ML SOL. ORAL FR 60ML,PrednisoLONA,Prednisolona,1
Dose D 200 UI/gota Sol oral 20mL (Não Padrão),COLECALCIFEROL (VITAMINA D),Colecalciferol,1
Anestésico Colírio Fr 10ml,TETRACAINA + FENILEFRINA (OFTALMICO),Tetracaína,0
MPP:  PRISTIQ 100 MG,DESVENLAFAXINA,Desvenlafaxina,1
Bacitracina+Neomicina 15g bisnaga,NEOMICINA + BACITRACINA (TOPICO),"Bacitracina, Neomicina",1
Carvão ativado 10gr,CARVAO ATIVADO,Carvão ativado,1
"XGEVA 120MG AMP 1,7ML SC",DENOSUMABE,Denosumabe,1
TOPIRAMATO 25MG 60 CP REV NOVAQ GEN C1,TOPIRAMATO,Topiramato,1
POLIETILENOGLICOL 4000 S/ ELETROLITOS 10 GRAMAS,POLIETILENOGLICOL (MACROGOL),Polietilenoglicol 4000,1
SEVELAMER 800MG CPR,SEVELAMER,Sevelamer,1
Paracetamol 10mg/ml inj. bls 100ml,PARACETAMOL  (ACETAMINOFEM),Paracetamol,1
Claritin 10mg Comprimido,LORATADINA,Loratadina,1
OSELTAMIVIR 75MG COM,OSELTAMIVIR,Oseltamivir,1
RIVAROXABANA 15mg COMP - ALTA VIGILANCIA,RIVAROXABANA,Rivaroxabana,1
CLORETO DE POTASSIO 600 MG DRAGEA,CLORETO DE POTASSIO,Cloreto de Potássio,1
CLEXANE 80MG SC (MEDICAMENTO DE RISCO),ENOXAPARINA SODICA,Enoxaparina,1
"FENTANIL (CITRATO) 0,05MG/ML C/10ML INJ",FENTANILA,Fentanil,1
BUTILBROMETO DE ESCO.+DIPIRONA 10MG/ML SOL. ORAL FR 20ML,ESCOPOLAMINA + DIPIRONA,"Butilbrometo de Escopolamina, Dipirona",1
SULFAMETOXAZOL 400MG + TRIMETOPRIMA 80MG - COMPRIMIDO,SULFAMETOXAZOL+TRIMETOPRIMA,Sulfametoxazol + Trimetoprima,1
"TERLIPRESSINA 0,1MG/ML AMPOLA 8,5ML",TERLIPRESSINA,Terlipressina,1
DECADRON - COLIRIO,DEXAmetasona (OFTALMICo),Dexametasona,1
BACILLUS CLAUSII FLACONETE 5ML,BACILLUS CLAUSII,Bacillus clausii,1
Uni Haloper 5 Mg/ml Amp/1ml,HaloPERidol,Haloperidol,1
CLORIDRATO DE VERAPAMIL 80 mg,VERAPAMIL,Verapamil,1
MANITOL SOLUCAO 20% 250ML BL SANOBIOL,MANITOL,Manitol,1
CicloFOSFAMida 1000mg Inj.,ciclofosfamida,Ciclofosfamida,1
CETAMINA 50MG/ML AMPOLA 2 ML (MPP),CETAMINA,Cetamina,1
"Naloxona 0,4 mg/1 ml, amp 0,4mg/ml",NALOXONA,Naloxona,1
ETOMIDATO 20MG/10ML SOL INJ,ETOMIDATO,Etomidato,1
Quetiapina 50 mg comp (NÃO PADRONIZADO),QUEtiapina,Quetiapina,1
Rosuvastatina cálcica 20mg cp (NÃO PADRONIZADA),ROSUVASTATINA CALCICA,Rosuvastatina cálcica,1
DAPAGLIFLOZINA 10 MG,DAPAGLIFLOZINA,Dapagliflozina,1
CLORIDRATO DE TRAMADOL 50MG/ML - 2ML - SOLUÇÃO INJETÁVEL - VIA INTRAMUSCULAR OU ENDOVENOSA - AMPOLA,TRAMADOL CLORIDRATO,Tramadol,1
"METOPROLOL, TARTARATO 1 MG/ML SOLUCAO INJETAVEL AMPOLA 5 ML",METOPROLOL TARTARATO,Metoprolol,1
AmioDARONA 150MG/3ML AMP,AMIODARONA,Amiodarona,1
Sotalol 120mg Comprimido,Sotalol,Sotalol,1
MECLIN 25MG COMP (NP),MECLOZINA,Cloridrato de Meclizina,1
Ruxolitinibe 10 mg cp ,RUXOLITINIBE,Ruxolitinibe,1
PARACETAMOL GOTAS 200MG / ML,PARACETAMOL  (ACETAMINOFEM),Paracetamol,1
Cetamina 50mg/ml 10ml Fr/amp,CETAMINA,Cetamina,1
"HIDROXIETILAMIDO 130/0,4 - EV",Hidroxietilamido,Hidroxietilamido,1
AGUA DESTILADA 10ML AMPOLA,AGUA DESTILADA,Água destilada,1
MC: FORXIGA 10MG ,DAPAGLIFLOZINA,Dapagliflozina,1
HIDROXIETILAMIDO 6% (60 MG/ML) FR 500 ML (VOLUVEN),Hidroxietilamido,Hidroxietilamido,1
NISTATINA+OXIDO DE ZINCO POMADA,NISTATINA + OXIDO DE ZINCO (TOPICO),"Nistatina, Óxido de Zinco",1
"MORFINA 0,2 MG/1ML EV (MEDICAMENTO DE RISCO)",SULFATO DE MORFINA,Morfina,1
MEROPENEM 500MG - FR - AMP,MEROPENEM,Meropenem,1
DICLORIDRATO DE BETAISTINA 8 mg,BETAISTINA,Betaistina,1
"Butilbrometo de escopolamina 10mg, drágea (ORAL)",ESCOPOLAMINA (HIOSCINA),Butilbrometo de escopolamina,1
OCTREOTIDA 30 MG -  AMP,OCTREOTIDA,Octreotida,1
Toperma 5% Adesivo Transdermico Lidocaina 5%,LIDOCAINA (TOPICO),Lidocaina,1
MetoTREXATO 100 mg/mL,METOTREXATO,Metotrexato,1
SURFACTANTE ALFAPORACTANTO 80MG/ML SOL. INJETAVEL FA 3ML,ALFAPORACTANTO (SURFACTANTE),Alfaporactanto,1
EFFIENT 10MG 30 CP REV,Prasugrel,Prasugrel,1
EFEDrina SULFATO SOLUCAO INJETAVEL 50MG/ML 1ML  @,EFEDrina,Efedrina,1
Ampicilina 1000 mg po liofilo injetavel frasco/ampola ( Santa Casa ),AMPICILINA,Ampicilina,1
ALBUMINA HUMANA 20% MANIPULADA (PERIFERICA),ALBUMINA HUMANA,Albumina Humana,1
Alivium 100mg/ml (10gts/ml) 20ml,IBUPROFENO,Ibuprofeno,1
FENITOINA 50MG/ML (HIDANTAL),FENITOINA,Fenitoína,1
BIOCURON 4mg/2ml  amp 2 ml (Pancurônio),PANCURONIO,Pancurônio,1
Valsartana 80mg cp,VALSARTANA,Valsartana,1
TROPICAMIDA 1% (10MG/ML) SOLUCAO OFTALMICA,TROPICAMIDA,Tropicamida,1
DAPAGLIFLOZINA 10MG CPREV,DAPAGLIFLOZINA,Dapagliflozina,1
"CLONAZEPAM 0,5MG CP",CLONAZEPAM,Clonazepam,1
DEPURA 2.000UI 30CP,COLECALCIFEROL (VITAMINA D),Vitamina D3,1
SULFATO DE ZINCO 2.5 mg/mL,SULFATO DE ZINCO ,Zinco,1
ALOPURINOL 100 MG - COMP,AloPURinol,Alopurinol,1
Água Bidestilada Bolsa 100ml - Halex Istar #,AGUA DESTILADA,Água Bidestilada,1
DOMPERIDONA 1MG/ML SUSPENSAO ORAL DOSE 3 ML,DOMPERIDONA,Domperidona,1
"COLCHICINA 0,5MG - CP",Colchicina,Colchicina,1
DOMPERIDONA 10MG COMP,DOMPERIDONA,Domperidona,1
MPP:  PANCREATINA 25.000UI,PANCREATINA,Pancreatina,1
Mirtazapina 15mg Cp orodisp (Med. Controlado) ,MIRTAZAPINA,Mirtazapina,1
MC: EXELON PATCH 5 ,RIVASTIGMINA,Rivastigmina,1
Losartan Potássico 50 mg  cp,LOSARTANA,Losartan,1
"CLINDAMICINA 600MG - C/ 4ML + SF 0,9 % 100 ML",CLINDAMICINA,Clindamicina,1
SORO GLICOSADO 10% 1000ML,SOLUCAO DE GLICOSE (SORO GLICOSADO),Glicose,1
Coltrax 4mg (2mg/ml) Ampola 2ml,TIOCOLCHICOSIDEO,Tiocolchicosídeo,1
Quet XR 300mg Cp rev lib prolong (Med. Controlado) (Não Padrão),QUEtiapina,Quetiapina,1
SULFAMETOXAZOL + TRIMETOPRIMA (40MG + 8MG)/ML DOSE 5 ML,SULFAMETOXAZOL+TRIMETOPRIMA,Sulfametoxazol + Trimetoprima,1
Trometamol cetorolaco 5mg/ml Solução Oftálmica Frasco 5ml,CETOROLACO DE TROMETAMINA,Cetorolaco de Trometamol,1
NORAdrenalina 4MG/4ML AMP,NOREPINEFRINA (NORADRENALINA),Noradrenalina,1
OXIDO DE ZINCO USO TOPICO,OXIDO DE ZINCO,Óxido de Zinco,1
"Ropivacaína 7,5mg/ml (0,75%) 20ml Fr/amp",ROpivacaina,Ropivacaína,1
NAPROXENO 250MG - COMP,Naproxeno,Naproxeno,1
Fauldcispla 10mg/10mL Inj,CISPLATINA,Cisplatina,1
BACLOFENO 10MG - COMPRIMIDO,BACLOFENO,Baclofeno,1
"CEFEPIMA 2G PO P/SOL INJ + SF 0,9% 100ML",CEFEPIMA,Cefepima,1
"NATRILIX SR 1,5MG 30 CP C",Indapamida,Indapamida,1
SACCHAROMYCES BOULLARDI 200MG ENV,SACCHAROMYCES BOULARDII,Saccharomyces boulardii,1
Dipirona sodica 500mg/mL - 2mL,DipiRONA,Dipirona Sódica,1
TEMOZOLOMIDA 100MG VO QT,TEMOZOLOMIDA,Temozolomida,1
Aerolin 2mg Cp.,SALBUTAMOL (ALBUTEROL),Salbutamol,1
CILOSTAZOL 100MG COMPRIMIDO,Cilostazol,Cilostazol,1
"ENOXAPARINA SODICA 80 MG  SERINGA  0,8ML",ENOXAPARINA SODICA,Enoxaparina Sódica,1
Lidocaína 10% Spray Frasco 50ml,LIDOCAINA CLORIDRATO,Lidocaína,1
Losartana Potassica - Gen. Biosintetica 50 mg. 2 bl. x 14 cprs. rev.,LOSARTANA,Losartana Potassica,1
Amato 100mg Comprimido - C1,TOPIRAMATO,Topiramato,1
CUORE 75MG 28CP REV,CLOPIDOGREL,Ácido Acetilsalicílico,0
AMPICILINA  INTRAVENOS (AMPOLA 1GRAMA),AMPICILINA,Ampicilina,1
SORO FISIOLOGICO (NACL 0.9% 10 ML AMP),"CLORETO DE SODIO 0,9% (SORO FISIOLOGICO)",Cloreto de Sódio,1
Salbutamol 5mg/mL Gts Neb Fr 10mL - Aerolin,SALBUTAMOL (ALBUTEROL),Salbutamol,1
N-ACETILCISTEINA 600MG ENVELOPE,ACETILCISTEINA,N-Acetilcisteína,1
Decadron 2mg/1mL Sol inj,DEXAMETASONA,Dexametasona,1
VITAMINA COMPLEXO B DRG,VITAMINAS DO COMPLEXO B,Complexo B,1
"LEVOBUPIVACAINA 0,25%+ EPINEFRINA 20ML - AMP",LEVOBupivacaina,"Levobupivacaína, Epinefrina",1
Tramadol 100mg Comprimido de Liberação Controlada,TRAMADOL CLORIDRATO,Tramadol,1
IRINOTECANO 40MG FR - NP,IRINOTECANO,Irinotecano,1
Sildenafila 50mg Cp,SILDENAFILA,Sildenafila,1
PROPATILNITRATO COMPRIMIDO C/10MG,PROPATILNITRATO,Propatilnitrato,1
Lactobacillus acidophilus 3BI UFC + Lactobacillus paracasei 3BI UFC+ Lactobacillus bifidum 3BI UFC + Lactobacillus rhamnosos 2BI UFC Sol oral 100mL (Não Padrão),LACTOBACILLUS ACIDOPHILUS + LACTOBACILLUS CASEI + LACTOBACILLUS RHAMNOSUS + BIFIDOBACTERIUM LONGUM,"Lactobacillus acidophilus, Lactobacillus paracasei, Lactobacillus bifidum, Lactobacillus rhamnosos",0
TERIZIDONA CAPSULA GELATINOSA DURA 250MG MS,CICLOSERINA (TERIZIDONA),Terizidona,1
"LEUPRORRELINA ACETATO 22,5MG PO LIOFILIZADO",LEUPRORRELINA,Leuprorrelina,1
"AMOXICILINA+CLAV POT (250MG +62,5MG/ 5ML) SUSPENSAO",AMOXICILINA + CLAVULANATO POTASSIO,Amoxicilina + Ácido Clavulânico,1
LINEZOLIDA 2MG/ML SOLUCAO INJETAVEL BOLSA 300ML,LINEZOLIDA,Linezolida,1
"Psorex 0,5mg/g Creme 30g",CLOBETASOL (TOPICO),Betametasona,0
Esmolol 10mg/mL Inj. Frasco c/ 10mL,ESMOLOL,Esmolol,1
Imunoglobulina Humana 5 G 10 % (100 Mg/ml) Frasco C/ 50ml,IMUNOGLOBULINA HUMANA,Imunoglobulina Humana,1
"Clorexidina enxaguatório bucal 0,12% frasco 500mL",CLOREXIDINA,Clorexidina,1
Cetrolac 30 mg  amp 1 ml (Cetorolaco Trometamina) ,CETOROLACO DE TROMETAMINA,Cetorolaco Trometamina,1
Daxas 500mcg Comprimido Revestido,ROFLUMILAST,Roflumilaste,1
DEXMEDETOMIDINA 100MCG/ML 2ML-FR-AM,DEXMEDETOMIDINA,Dexmedetomidina,1
FENILEFRINA 10MG/ML AMP 1ML,FENILEFRINA,Fenilefrina,1
ALGINATO DE CALCIO E SODIO GEL,ALGINATO DE SODIO + ALINATO DE CALCIO (TOPICO),Alginato de Cálcio e Sódio,1
"Tocilizumabe 162mg Seringa Preenchida 0,9mL",TOCILIZUMABE,Tocilizumabe,1
Aciclovir 250mg INJ,ACICLOVIR,Aciclovir,1
AGUA DESTILADA 1.000ML (SOROTERAPIA),AGUA DESTILADA,Água destilada,1
SORO ANTIBOTROPICO,SORO ANTIBOTROPICO,Veneno de Bothrops,1
Isometepteno 30mg+cafeína 30mg+DipiRONA 300mg Drg,ISOMETEPTENO + DIPIRONA +CAFEINA,"Isometepteno, Cafeína, Dipirona",1
FAULDLEUCO (FOLINATO DE CALCIO) 50MG,FOLINATO DE CALCIO (ACIDO FOLINICO),Folinato de Cálcio,1
SULFAMETOXAZOL+TRIMETROPIMA (400MG+80MG) CPR,SULFAMETOXAZOL+TRIMETOPRIMA,Sulfametoxazol e Trimetropima,1
"ACIDO VALPROICO 250MG/5ML XAROPE DOSE 2,5 ML",ACIDO VALPROICO (VALPROATO DE SODIO),Ácido Valproico,1
Miflonide 400mcg Cap inal (Não Padrão),BUDESONIDA,Budesonida,1
CloNIDina 150mcg/ml Amp. 1ml,CLONIDINA,Clonidina,1
AMOXICILINA  500MG - CAPS,AMOXICILINA,Amoxicilina,1
"ENALAPRIL, MALEATO COMP 10MG",ENALAPRIL MALEATO,Enalapril,1
BCG 40MG - AMPOLA,BCG (CEPA VIVA ATENUADA),Bacilo de Calmette-Guérin,1
SINTEZYS 150MG 3 CP,IBANDRONATO DE SODIO,Clozapina,0
Fator VIII de Coagulação 500 UI Frasco-ampola + Diluente 5ml - Ministério da Saúde,FATOR VIII DE COAGULAÇAO,Fator VIII de Coagulação,1
Olimel N4E Bolsa 1000ml,POLIAMINOACIDOS + GLICOSE + EMULSAO LIPIDICA COM ELETROLITOS,"Aminoácidos, glicose, eletrólitos, lipídios",1
Annita 500 Mg Cp.,NITAZOXANIDA,Nitazoxanida,1
Dextrano+hipromelose Colírio 15ml,DEXTRANA + HIPROMELOSE (OFTALMICO),"Dextrano, Hipromelose",1
Paracetamol + Codeína 500/30mg Cp,CODEINA + PARACETAMOL (ACETAMINOFEM),"Paracetamol, Codeína",1
ERITROPOETINA HUMANA 4.000 UI 4000 UI,ALFAEPOETINA (ERITROPOETINA),Eritropoetina Humana,1
MORFINA SULFATO COMPRIMIDO 30MG @,SULFATO DE MORFINA,Morfina,1
Albendazol 400mg Cp. ,ALBENDAZOL,Albendazol,1
DASATINIBE 100MG (SESA),DASATINIBE,Dasatinibe,1
Renitec (enalapril)  20mg Comprimido,ENALAPRIL MALEATO,Enalapril,1
Pantoprazol 40mg cp,PANTOPRAZOL,Pantoprazol,1
BICARBONATO DE SODIO 1 mg + CLORETO DE POTASSIO 1 mg + CLORETO DE SODIO 1 mg + MACROGOL 1 mg,MACROGOL+BICARBONATO DE SODIO+CLORETO DE POTASSIO + CLORETO DE SODIO,"Bicarbonato de Sódio, Cloreto de Potássio, Cloreto de Sódio, Macrogol",1
NOVALGINA 300MG INFANTIL SUP,DipiRONA,Dipirona,1
Floratil  200mg Envelope,SACCHAROMYCES BOULARDII,Saccharomyces boulardii,1
ACIDO ACETILSALICILICO 100 MG - COMP,ACIDO ACETILSALICILICO <200MG,Ácido Acetilsalicílico,1
CETOCONAZOL + BETAMETASONA CREME 30G,CETOCONAZOL + BETAMETASONA  (TOPICO),"Cetoconazol, Betametasona",1
MIDAZOLAM 5MG/ML 10ML AMP,MIDAZOLAM,Midazolam,1
amioDARONA 50MG/ML 3ML AMP,AMIODARONA,Amiodarona,1
SIMETICONA 75 MG/ML FR 10 ML,SIMETICONA,Simeticona,1
Donaren 50mg Cp. Rev.,TRAZODONA,Trazodona,1
Atorvastatina 10mg Comprimido,ATORVASTATINA,Atorvastatina,1
Obinutuzumabe 1000 mg fr amp  ( Anticorpo monoclonal ),OBINUTUZUMABE,Obinutuzumabe,1
Soro Glicosado 5% 100mL [30532],SOLUCAO DE GLICOSE (SORO GLICOSADO),Glicose,1
FLUCONAZOL CAPSULA GELATINOSA DURA 150MG,FLUCONAZOL,Fluconazol,1
