medicamento,substancia
ACETILCISTEÍNA GRANULADO  200MG ENVELOPE,ACETILCISTEINA
Levofloxacino 500 mg comprimido ,LEVOFLOXACINO
LevoTIROXina 112mcg,LevoTIROXina
AloPURinol 100mg Comprimido - Prati Donaduzzi,AloPURinol
DIGOXINA 0.25 mg,DIGOXINA
Levomepromazina 4% (40 mg/ml) fr 20ml gts,LEVOMEPROMAZINA (METOTRIMEPRAZINA)
Buscopan Composto Sol oral Fr 20 mL,ESCOPOLAMINA + DIPIRONA
HIDROCORTISONA 500MG/4ML - IM,HIDROCORTISONA SUCCINATO SODICO
TORAGESIC OFTA 5MG/ML 5ML SOL OFT,CETOROLACO TROMETAMINA (OFTALMICO)
TOLREST 50MG CP,SERTRALINA CLORIDRATO
CETOROLACO TROMETAMINA SOLUCAO INJETAVEL 30MG/ML 1ML,CETOROLACO DE TROMETAMINA
AzaTIOprina 10mg/mL Sol oral 100mL (Não Padrão),AZATIOPRINA
CLORIDRATO DE AMILORIDA 5 mg,Amilorida
"GLICOSAMINA 1,5 g",GLICOSAMINA
Creme Preventivo Assaduras 45 g,CREME PROTETOR
MC: PURAN 25MCG1 ,LevoTIROXina
"DESLANOSIDEO 0,2MG / 1ML 2ML",DESLANOSIDEO
"PEGFILGRASTIM SOLUCAO INJETAVEL SERINGA PREENCHIDA 10MG/ML 0,6ML",PEGFILGRASTIM
FUROSEMIDA 40MG,FUROSEMIDA
metoTREXATO (SODICO) 500MG SOL INJET 25MG/ML- FA 20ML,METOTREXATO
Cloreto de Potássio 600mg Cap,CLORETO DE POTASSIO (COMPRIMIDO)
DEXAMETASONA COMPRIMIDO 4MG,DEXAMETASONA
MEBENDAZOL SUSPENSAO ORAL 20MG/ML 30ML,MEBENDAZOL
NitroGLICERINA 25MG/5ML AMP,NitroGLICERINA
Xylestesin 2% S/ Vasoconstritor 20ml Inj.,LIDOCAINA CLORIDRATO
"ROPivacaina 7,5mg/ml Amp/20ml Inj.",ROpivacaina
Dropropizina 30mg/ml Solucao Oral (GOTAS) Fra 10ml,DROPROPIZINA
Sol. de Calcio (10 mg/mL) e Fosforo (6 mg/mL) Sup. Oral Frasco 50 mL,SOLUCAO DE CALCIO + FOSFORO
"MORFINA 0,2MG/ ML 1ML(MED.ALTO RISCO)",SULFATO DE MORFINA
"CaBAZitaxel 60mg/1,5ml sol. Inj - QT",CABAZITAXEL
ADENOSINA 3MG/ML - 2ML - SOLUÇÃO INJETÁVEL - AMPOLA,ADENOSINA
TOPIRAMATO 100MG COMP - (CONTROLADO),TOPIRAMATO
MC: LOSARTANA (CORUS) 50MG ,LOSARTANA
"Dipirona sódica 500mg/mL, gotas, frasco c/ 10mL",DipiRONA
ALBENDAZOL 400MG COMP.,ALBENDAZOL
"MORFINA 0,1MG/ML 1ML IM / IV (MED. ALTO RISCO)",SULFATO DE MORFINA
piridostigmina 60mg comprimido,PIRIDOSTIGMINA
SALBUTAMOL SULFATO 100MCG/DOSEAEROSOL 120ML,SALBUTAMOL (ALBUTEROL)
MIDAzolam 5mg (1mg/ml) Ampola 5ml #,MIDAZOLAM
Simulect 20mg Frasco-ampola + Diluente Ampola 5ml,BASILIXIMABE
"Ciloxan colirio 3,5mg/ml Fr 5 ml (Cloridrato de Ciprofloxacino)",ciprofloxacino (OFTÁLMICA)
METARAMINOL HEMITARTARATO 10MG/ML,METARAMINOL
FOSFATO DE SODIO MONO E DIBASICO,FOSFATO DE SODIO MONOBASICO + FOSFATO DE SODIO DIBASICO
DexMEDETOmidina 100mcg/ml Ampola 2ml,DEXMEDETOMIDINA
Entresto 50mg (24/26mg) Comprimido Revestido,SACUBITRIL + VALSARTANA
CarBAMazepina 100MG / 5ML SOL ORAL,CARBAMAZEPINA
Carbocisteina 50 mg/ml xpe adulto frasco c/ 100 ml,CARBOCISTEINA
LEVOID 75MCG 30 CP,LevoTIROXina
AMPICILINA SODICA 500MG - FR (EV),AMPICILINA
"ESCOPOLAMINA BUTILBROMETO 6,67MG/ML+DipiRONA SODICA 333,4MG/ML SOLUCAO ORAL 20ML",ESCOPOLAMINA + DIPIRONA
"Esmolol 250mg/ml, 10ml, amp 2.5g/10ml",ESMOLOL
SULFAMETOXAZOL(400MG)+TRIMETOPRIMA(80MG) COMP,SULFAMETOXAZOL+TRIMETOPRIMA
Clortalidona + Amilorida 25/5mg Cp (NÃO PADRONIZADO),CLORTALIDONA + AMILORIDA
OLEO DE GIRASSOL COM VITAMINA E 250ML (ALMOTOLIA),OLEO DE GIRASSOL + VITAMINA A + VITAMINA E (TOPICO)
"Cloreto de Sódio 0,9% (Soro Fisiológico) Bolsa 1000ml","CLORETO DE SODIO 0,9% (SORO FISIOLOGICO)"
BASILIXIMABE 20MG PO LIOFILIZADO FA,BASILIXIMABE
ClorproMAZINA CLORIDRATO COMPRIMIDO REVESTIDO 25MG @,ClorproMAZINA
BUTILBROMETO DE ESCOPOLAMINA 10MG/ML - 20ML - SOLUÇÃO ORAL - FRASCO-GOTAS,ESCOPOLAMINA (HIOSCINA)
Diamicron Mr 60mg Comprimido de Liberação Modificada,GliCLAZida
Metadona 10mg ampola c/ 1mL,Metadona
COMPLEXO B CP (VIT B1+B2+B3+B5+B6),VITAMINAS DO COMPLEXO B
Tacrolimo 1 mg/g pomada dermatologica bisnaga 10 g,TACROLIMO
"Loperamida, cloridrato 2mg cp.",LOPERAMIDA
AMPICILINA CAPSULA C/500MG,AMPICILINA
"MITomicina C 0,04% Inj",MITOMICINA
Unikalk Silver Comprimido (Cálcio 400mg + Vitamina D3 10mcg) - Importado,CALCIO + COLECALCIFEROL (VITAMINA D)
MIDAZOLAM 5MG/ML - AMP 10ML,MIDAZOLAM
"Cloreto de Potassio  19,1% Amp. 10ml",CLORETO DE POTASSIO
Succinato De Metoprolol 50mg | Comprimido Revestido De Liberação Controlada,METOPROLOL SUCCINATO
DIMENIDRINATO+PIRIDOXINA 50+50MG/ML SOL INJETAVEL AMP 1M,DIMENIDRINATO + PIRIDOXINA(B6)
ONDANSETRONA 4 MG/ML SOLUCAO INJETAVEL AMPOLA 2 ML,ONDANSETRONA
Actemra 80mg/4ml,TOCILIZUMABE
HIDROCORTISONA PO LIO 100MG FA EV BOLUS,HIDROCORTISONA SUCCINATO SODICO
"Anlodipino, besilato 1mg/ml - PEDIATRICO - frasco c/ 50ml",ANLODIPINO
"CITR. DE SILDENAFILA 3,5MG PO ORAL ENV 3,5MG",SILDENAFILA
HIDROCORTISONA PO LIO 100MG FA ENDOVENOSO,HIDROCORTISONA SUCCINATO SODICO
Aristab Comprimido 30mg,ARIPIPRAZOL
CETOCONAZOL 20 mg/g,CETOCONAZOL (TÓPICO)
Fitomenadiona 10mg/ml Ampola 1ml | Solução Injetável | Via Intravenosa,FITOMENADIONA (VITAMINA K)
"Metformina, Cloridrato 500 mg - Glifage XR",METFORMINA
CILOSTAZOL 100MG COMP,Cilostazol
DARUNAVIR COMPRIMIDO 300MG,DARUNAVIR
PredniSONA 20MG CP,PredniSONA
CLORETO DE SODIO 20% - 10ML - SOG (MEDICAMENTO DE RISCO),CLORETO DE SODIO
"Refresh gel oftalmico 0,3% tubo c/ 10g",CARBOMER (ACIDO POLIACRILICO) (OFTÁLMICO)
MIDAZOLAM COMPRIMIDO REVESTIDO 15MG @,MIDAZOLAM
Complexo B Drg.,VITAMINAS DO COMPLEXO B
QUIMIOTERAPIA - DIPIRONA 1000MG/2ML AMP 2ML,DipiRONA
BactrIM F 800/160mg Cp,SULFAMETOXAZOL+TRIMETOPRIMA
CLORIDRATO DE HIDRALAZINA 50 mg,HidrALAZINA
Vasopressina 20U/ml Ampola 1ml,Vasopressina
OSIMERTINIBE 80MG,OSIMERTINIBE
Valsartana 320mg + Anlodipino 10mg Comprimido Revestido,VALSARTANA + ANLODIPINO
CETOPROFENO 50MG CPR,CETOPROFENO
MIDAZOLAM 15MG COMP,MIDAZOLAM
"Brometo de Ipratrópio 0,25mg/ml gts  Fr 20 ml",IPRATROPIO
RiTUXimabe (500 mg/50 mL) 10 mg/mL,RiTUXimabe
Axetil Cefuroxima 50mg/ml Susp. Oral 70ml,AXETILCEFUROXIMA
PROFENID GEL,CETOPROFENO
Glicofisiologico 1000ml Sistema Fechado,SOLUCAO GLICOFISIOLOGICA (CLORETO DE SODIO + GLICOSE)
IMUNOGLOBULINA G HUMANA 50mL 5 G FRA,IMUNOGLOBULINA HUMANA
Lacosamida 10 mg/mL F/A 20 mL,LACOSAMIDA
CONCOR 10MG - CP,BISOPROLOL
RINGER COM LACTATO 500ML EV - SOROTERAPIA,(RINGER LACTATO) CLORETO DE SODIO+CLORETO DE POTASSIO+CLORETO DE CALCIO+LACTATO DE SODIO
Dimenidrinato+Piridoxina 50+10mg Cp Rev,DIMENIDRINATO + PIRIDOXINA(B6)
Risperidona 2mg cpr.,RISPERIDONA
ATORVASTATINA 80 MG - COMP,ATORVASTATINA >10MG
Magnesio Quelato 200 mg Capsula - 50 CAPSULAS POR FRASCO,MAGNESIO QUELATO
Pregabalina 75mg Cap,PREGABALINA
CARBONATO DE CALCIO 1250MG + VIT. D 400UI,CARBONATO DE CALCIO + COLECALCIFEROL (VITAMINA D)
"Heparina Sódica Subcutânea 5000ui Ampola C/ 0,25ml",Heparina
"DEXAMETASONA. 10MG/2,5ML (INFANTIL)",DEXAMETASONA
Bextra 40mg Fa.,PARECOXIBE
CETAMINA 50MG/ML  - AMP 2ML,CETAMINA
GENTAMICINA 80MG/2ML INJ + SG 5% 250ML,GENTAMICINA
ACETATO DE ABIRATERONA 250MG,ABIRATERONA
HUMECTOL D - DRAGEA,BISACODIL+ DOCUSATO DE SODIO
"FLUDROcortisona 0,1mg Comprimido ",FLUDROCORTISONA
PROPOFOL 1000MG - INJETÁVEL 100ML,PROPOFOL
MPP:  ESPIRONOLACTONA 50 MG,ESPIRONOLACTONA
ACICLOVIR 50 mg,ACICLOVIR
"Retinol (10.000 UI/g) + Aminoacidos (25 mg/g) + Metionina (5 mg/g) + Cloranfenicol (5 mg/g) Pom. oftalm. 3,5g",RETINOL+AMINOACIDO+METIONINA+CLORANFENICOL (OFTÁMICO)
Entricitabina 200mg +Tenofovir 300mg Comprimido Revestido,ENTRICITABINA + FUMARATO DE TENOFOVIR DESOPROXILA
"Tropicamida 1%, Fr. 5ml - Colírio",TROPICAMIDA
SYMBICORT 6/200MCG SPRAY 120 DOSES (DAV),FORMOTEROL + BUDESONIDA
Fenofibrato 250 mg cp. (NÃO PADRONIZADO),FENOFIBRATO
OPTIVE ALLERGAN COL 10ML,GLICERINA + CARMELOSE SODICA + HIALURONATO DE SODIO + ERITRITOL + LACTATO DE SODIO + CLORETO DE POTASSIO + CLORETO DE CALCIO DIIDRATADO + CLORETO DE MAGNESIO HEXAIDRATADO + LEVOCARNITINA + AGUA PURIFICADA
LEVOFLOXACINO 500 MG COMPRIMIDO,LEVOFLOXACINO
Gulshen 300mg Cp (Não Padrão),acido ursodesoxicolico
Clonidina 150mcg/ml Amp 1ml,CLONIDINA
"Solução De Gelatina 3,5% Frasco C/ 500 Ml",GELATINA + CLORETO DE SODIO + CLORETO DE POTASSIO + CLORETO DE CALCIO DIHIDRATADO
BROMOPRIDA 10MG CP,BROMOPRIDA
SULFATO DE ZINCO 1MG/ML XPE - RN,SULFATO DE ZINCO 
XYLOPROCT 25G,LIDOCAINA + ACETATO DE HIDROCORTISONA + OXIDO DE ZINCO + SUBACETATO DE ALUMINIO (TOPICO)
MIDAZOLAM 15MG/3ML SC/HIPODERMOCLISE (MED DE RISCO),MIDAZOLAM
AZITROMICINA 1000MG CP,AZITROMICINA
Solu-medrol 500 Mg Fr/ Amp. ( METILprednisoLONA ),METILPREDNISOLONA
Acido Zoledronico 4 mg  FA,ACIDO ZOLEDRONICO
MC: VESOMNI,TANSULOSINA + SOLIFENACINA
RISPERIDONA SOLUCAO ORAL 1MG/ML - FRASCO 30ML,RISPERIDONA
"CLOREXIDINA 0,12% SOLUCAO DEGERMANTE",CLOREXIDINA
BROMETO DE RONCURÔNIO 10MG/ML - 5 ML - SOLUÇÃO INJETÁVEL - - AMPOLA,ROCURONIO
TENOXICAM 20MG FR AMP,Tenoxicam
TRAMADOL SOL ORAL 100MG/ML FR 10ML,TRAMADOL CLORIDRATO
AZITromicina 500 mg Po Liofilizado frasco-ampola,AZITROMICINA
"TRIDIL 5MG/ML - C/ 5ML (NITROGLICERINA)+ SF 0,9% 250ML",NitroGLICERINA
Azul de Metileno 50 mg/5 mL 1%  amp ,AZUL DE METILENO (CLORETO DE METILTIONINIO)
ANASTROZOL 1MG VO QT,ANASTROZOL
"Deslanosídeo 0,4mg/2ml Amp",DESLANOSIDEO
FLEET ENEMA - FOSFATO SODIO MONO E DIBASICO,FOSFATO DE SODIO MONOBASICO + FOSFATO DE SODIO DIBASICO
JARDIANCE 10 (NP),empagliflozina 
TIZANIDINA 2MG CPR (RANBAXY),TIZANIDINA
GLICOSE 10% SOL INJET - FR 500ML S/ PVC,SOLUCAO DE GLICOSE (SORO GLICOSADO)
Bismu-jet Suspensão Oral (1ml = 20 Gotas) Frasco 20ml,SULFATO DE NEOMICINA + TARTARATO DE BISMUTO E SODIO + CLORIDRATO DE PROCAINA 
Citarabina 100mg/ml Fa. 1ml,CITARABINA
"FentaNIL  INJ 10 ML ,05 MG/ML FRA",FENTANILA
Dexametasona creme Bis 10 g,DEXAmetasona (tópico)
GLUCONATO DE CALCIO - INFUSÃO,GLUCONATO DE CALCIO
"ENOXAPARINA 40MG / 0,4ML(MED.ALTO RISCO)",ENOXAPARINA SODICA
Vitamina C 500mg,ACIDO ASCORBICO (VITAMINA C)
CARBAMAZEPINA SUSP ORAL 100MG/5ML FR 100ML,CARBAMAZEPINA
LEFLUNOMIDA 20MG  (NP),LEFLUNOMIDA
GUTTALAX GOTAS,PICOSSULFATO DE SODIO 
Aripiprazol 5mg Cápsula - Manipulado,ARIPIPRAZOL
BUDESONIDA CAPSULA PARA INALAÇÃO 400 MCG CAP,BUDESONIDA
Promixin Frasco-ampola 1.000.000 Ui,COLISTIMETATO (POLIMIXINA E) (COLISTINA)
MC: NAPRIX 5MG ,RAMIPRIL
Benzilpenicilina Benzatina (Penicilina G) 600.000ui (150.000ui/ml) Frasco-ampola 4ml,BENZILPENICILINA BENZATINA
TIOPENTAL 1G SOL.INJ - BOLUS,TIOPENTAL
"BESILATO DE ANLODIPINO 2,5 mg",ANLODIPINO
Prelone Fosfato 3mg/ml Solução Oral Frasco 120ml + Pipeta Dosad.,PrednisoLONA
"UNASYN 1,5G + AD 3,2ML  EV - BS - PED",AMPICILINA SODICA + SULBACTAM
TART. DE VINORELBINA 10MG/ML SOL. INJETAVEL FA 5ML,TARTARATO DE VINORELBINA
Paxlovid (Nirmatrelvir 150mg Cp rev + Ritonavir 100mg Cp rev) (Multipack) (Não Padrão),NIRMATRELVIR + RITONAVIR
CARBONATO DE CALCIO EQUIVALENTE 500MG DE CALCIO - COM,CARBONATO DE CALCIO
RIVAROXABANA 20MG - (MPP),RIVAROXABANA
Dexilant 30mg Cap lib retard (Não Padrão),DEXLANSOPRAZOL
TICAGRELOR COMPRIMIDO REVESTIDO 90MG,TICAGRELOR
FLAVENOS 500MG 60 CP REV,DIOSMINA + HESPERIDINA
LACOSAMIDA 150 mg,LACOSAMIDA
ADDERA CAL 2.000UI FR 30 CPRV,VITAMINA D
Ondansetrona 8mg Cp Rev,ONDANSETRONA
COLAGENASE + CLORANFENICOL CREME 30G,COLAGENASE+CLORANFENICOL (TOPICO)
ERTAPENEM 1 G - NAO PADRAO,ERTAPENEM
Uso Dom.: MELATONINA GOTAS,MELATONINA
"Lidocaina spray 10%  50mL, frasco (TÓPICO)",LIDOCAINA (TOPICO)
"Clexane 80 Mg Seringa C/ 0,8 Ml ( Enoxaparina )",ENOXAPARINA SODICA
PREDNISONA 20 MG COMP,PredniSONA
Niquitin 14mg Adesivo,NICOTINA (TRANSDERMICO)
DepakENE 250mg/5mL Xpe 100mL (Med. Controlado),VALPROATO DE SODIO
Tylex 30mg Cp.,CODEINA + PARACETAMOL (ACETAMINOFEM)
"Clonidina 0,200mg Cp.",CLONIDINA
Isossorbida Dinitrato 10mg Cp. *,ISOSSORBIDA
NeXIum 40mg Inj,ESOMEPRAZOL MAGNESIO
Claritromicina 500mg FA,CLARITROMICINA
"Liquemine subcutâneo 5000UI ampola c/ 0,25mL",Heparina
Frontal 1mg Comprimido,ALPRAZOLAM
Entresto 200mg Cp rev (Não Padrão),SACUBITRIL + VALSARTANA
"PEG-Lax Env 8,75g",POLIETILENOGLICOL (MACROGOL)
"SORO FISIOLOGICO 0,9% 1000ML","CLORETO DE SODIO 0,9% (SORO FISIOLOGICO)"
CETAMINA (dextrogira)/ ESCETAMINA EV/IM AMP 2ML 50 mg/mL,DEXTROCETAMINA (ESCETAMINA)
FLIXONASE (FLUTICASONA) SPRAY 50 MCG,FLUTICASONA
FORXIGA ,DAPAGLIFLOZINA
CETAMINA 500MG (50MG/ML) FA 10 ML INJ - EV,CETAMINA
DIOSMINA 450MG + HESPERIDINA 50MG COMP,DIOSMINA + HESPERIDINA
"Colchicina 0,5 Mg Cp",Colchicina
AmioDARONA 50 MG/ML AMPOLA 3 ML (MPP),AMIODARONA
"PROCORALAN 7,5MG",IVABRADINA
LACTULOSE SOLUÇÃO ORAL - 120 ML 667 MG/ML FR,LACTULOSE
AGUA DESTILADA 250ML                      ,AGUA DESTILADA
ETHAMOLIN 2ML INJ,OLEATO DE MONOETANOLAMINA
GANCICLOVIR 1MG/ML BOLSA COM 250ML (EV) NP,GANCICLOVIR
Solução Ringer c/ Lactato Sist. Fechado (bolsa c/  500 ml) (Fresenius),(RINGER LACTATO) CLORETO DE SODIO+CLORETO DE POTASSIO+CLORETO DE CALCIO+LACTATO DE SODIO
ADENOSINA SOLUCAO INJETAVEL 3MG/ML 2ML ,ADENOSINA
Vita K Ampola Intramuscular 10 Mg/ Ml ( Fitomenadiona ),FITOMENADIONA (VITAMINA K)
Areds Cápsula (Luteína + Zeaxantina + Vitamina C e E + Zinco),LUTEINA + ACIDO ASCORBICO (VITAMINA C) + TOCOFEROL (VITAMINA E) + SELENIO + ZINCO
SULFATO FERROSO 190MG COMP (EQUIVAL 60MG FERRO ELEMENTAR) #,SULFATO FERROSO
BECLOMETASONA DIPROPIONATO AEROSSOL SPRAY ORAL 250MCG/DOSE 200 DOSES,beclometasona
Neomicina/Bacitracina 5mg+250UI Pomada 10g ,NEOMICINA + BACITRACINA (TOPICO)
Aristab 1mg/mL Susp oral 150mL (Med. Controlado) (Não Padrão),ARIPIPRAZOL
Tobracin 3mg/mL Sol oftálmica 5mL,TOBRAMICINA (OFTALMICO)
CIPROFLOXACINO 500MG,CIPROFLOXACINO  
"Paracetamol 500mg, comprimido (ORAL)",PARACETAMOL  (ACETAMINOFEM)
CICLOPIROX OLAMINA 10 mg,CICLOPIROX
